filename;Bicycle;Bridge;Bus;Car;Chimney;Crosswalk;Hydrant;Motorcycle;Other;Palm;Stair;Traffic Light
dataset/train_val/Bicycle/00018.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00029.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00033.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00127.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00135.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00139.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00235.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00238.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00249.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00267.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00271.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00275.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00349.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00377.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00379.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00418.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00422.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00425.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00436.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00447.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00448.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00461.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00479.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00481.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00548.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00555.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00562.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00570.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00575.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00582.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00640.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00646.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00647.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00705.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00710.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00728.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00735.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00756.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00758.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00772.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00795.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00807.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00908.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00955.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/00956.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/01000.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/01008.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/01015.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/01067.png;1;0;0;0;0;0;0;0;0;0;0;0
dataset/train_val/Bicycle/01082.png;1;0;0;0;0;0;0;0;0;0;0;0
